Epoch,Train_Loss,Train_Acc,Train_Prec,Train_Rec,Train_F1,Val_Acc,Val_Prec,Val_Rec,Val_F1
0,0.2438,0.9805,0.9807,0.9805,0.9805,0.9931,0.9931,0.9931,0.9931
1,0.2173,0.9955,0.9955,0.9955,0.9955,0.9971,0.9971,0.9971,0.9971
2,0.2110,0.9980,0.9980,0.9980,0.9980,0.9975,0.9975,0.9975,0.9975
3,0.2072,0.9994,0.9994,0.9994,0.9994,0.9976,0.9976,0.9976,0.9976
4,0.2061,0.9997,0.9997,0.9997,0.9997,0.9980,0.9980,0.9980,0.9980
