Epoch,Train_Loss,Train_Acc,Train_Prec,Train_Rec,Train_F1,Val_Acc,Val_Prec,Val_Rec,Val_F1
0,0.2411,0.9809,0.9810,0.9809,0.9809,0.9927,0.9928,0.9927,0.9927
1,0.2168,0.9952,0.9952,0.9952,0.9952,0.9981,0.9981,0.9981,0.9981
2,0.2118,0.9973,0.9973,0.9973,0.9973,0.9960,0.9960,0.9960,0.9960
3,0.2089,0.9982,0.9982,0.9982,0.9982,0.9988,0.9988,0.9988,0.9988
4,0.2071,0.9990,0.9990,0.9990,0.9990,0.9977,0.9977,0.9977,0.9977
5,0.2052,0.9996,0.9996,0.9996,0.9996,0.9979,0.9979,0.9979,0.9979
6,0.2040,0.9998,0.9998,0.9998,0.9998,0.9981,0.9981,0.9981,0.9981
7,0.2036,0.9999,0.9999,0.9999,0.9999,0.9976,0.9976,0.9976,0.9976
8,0.2032,0.9999,0.9999,0.9999,0.9999,0.9984,0.9984,0.9984,0.9984
9,0.2036,0.9999,0.9999,0.9999,0.9999,0.9983,0.9983,0.9983,0.9983
