Epoch,Train_Loss,Train_Acc,Train_Prec,Train_Rec,Train_F1,Val_Acc,Val_Prec,Val_Rec,Val_F1
0,0.2420,0.9803,0.9805,0.9803,0.9803,0.9956,0.9956,0.9956,0.9956
1,0.2177,0.9948,0.9949,0.9948,0.9948,0.9950,0.9951,0.9950,0.9950
2,0.2133,0.9967,0.9967,0.9967,0.9967,0.9966,0.9966,0.9966,0.9966
3,0.2106,0.9978,0.9978,0.9978,0.9978,0.9964,0.9964,0.9964,0.9964
4,0.2078,0.9987,0.9987,0.9987,0.9987,0.9983,0.9983,0.9983,0.9983
5,0.2057,0.9995,0.9995,0.9995,0.9995,0.9987,0.9987,0.9987,0.9987
6,0.2045,0.9998,0.9998,0.9998,0.9998,0.9989,0.9989,0.9989,0.9989
7,0.2044,0.9998,0.9998,0.9998,0.9998,0.9986,0.9986,0.9986,0.9986
8,0.2041,0.9998,0.9998,0.9998,0.9998,0.9991,0.9991,0.9991,0.9991
9,0.2036,1.0000,1.0000,1.0000,1.0000,0.9990,0.9990,0.9990,0.9990
