Epoch,Train_Loss,Train_Acc,Train_Prec,Train_Rec,Train_F1,Val_Acc,Val_Prec,Val_Rec,Val_F1
0,0.2473,0.9776,0.9776,0.9776,0.9776,0.9962,0.9962,0.9962,0.9962
1,0.2178,0.9950,0.9950,0.9950,0.9950,0.9972,0.9972,0.9972,0.9972
2,0.2117,0.9978,0.9978,0.9978,0.9978,0.9945,0.9945,0.9945,0.9945
3,0.2100,0.9988,0.9988,0.9988,0.9988,0.9987,0.9987,0.9987,0.9987
4,0.2077,0.9998,0.9998,0.9998,0.9998,0.9978,0.9978,0.9978,0.9978
